WOJEWODZTWO,MARKA,LICZBA
MAŁOPOLSKIE,TOYOTA/CARPOL,3
MAŁOPOLSKIE,VOLKSWAGEN,678
MAŁOPOLSKIE,VOLKSWAGEN/CARPOL,1
MAŁOPOLSKIE,VOLVO,289
MAŁOPOLSKIE,ZASTAVA,1
MAZOWIECKIE,ABARTH,2
MAZOWIECKIE,ACURA,5
MAZOWIECKIE,ALFA ROMEO,98
MAZOWIECKIE,ALLIED VEHICLES LTD,2
MAZOWIECKIE,ALPINA,1
MAZOWIECKIE,ASTON MARTIN,6
MAZOWIECKIE,AUDI,1485
MAZOWIECKIE,AUSTIN/ROVER,1
MAZOWIECKIE,BAIC,40
MAZOWIECKIE,BMC,1
MAZOWIECKIE,BMW,1255
MAZOWIECKIE,BMW I,1
MAZOWIECKIE,BUICK,11
MAZOWIECKIE,BYD,48
MAZOWIECKIE,CADILLAC,3
MAZOWIECKIE,CHEVROLET,73
MAZOWIECKIE,CHRYSLER,139
MAZOWIECKIE,CITROEN,381
MAZOWIECKIE,CITROEN/CARPOL,1
MAZOWIECKIE,CUPRA,248
MAZOWIECKIE,DACIA,389
MAZOWIECKIE,DAIHATSU,8
MAZOWIECKIE,DAIMLERCHRYSLER,7
MAZOWIECKIE,DFSK,1
MAZOWIECKIE,DODGE,98
MAZOWIECKIE,DR,1
MAZOWIECKIE,DS,19
MAZOWIECKIE,EUNOS,1
MAZOWIECKIE,FERRARI,2
MAZOWIECKIE,FIAT,218
MAZOWIECKIE,FIAT/CARPOL,1
MAZOWIECKIE,FORD,1176
MAZOWIECKIE,FORD/FC AUTO SYSTEM,2
MAZOWIECKIE,FORD/GERMAZ,1
MAZOWIECKIE,FORD-CNG-TECHNIK,3
MAZOWIECKIE,FORTHING,8
MAZOWIECKIE,GAZ,1
MAZOWIECKIE,GMC,5
MAZOWIECKIE,HONDA,243
MAZOWIECKIE,HONGQI,2
MAZOWIECKIE,HUMMER,3
MAZOWIECKIE,HYUNDAI,1090
MAZOWIECKIE,INEOS,1
MAZOWIECKIE,INFINITI,6
MAZOWIECKIE,INFINITY,1
MAZOWIECKIE,IVECO,1
MAZOWIECKIE,JAECOO,51
MAZOWIECKIE,JAGUAR,43
MAZOWIECKIE,JEEP,186
MAZOWIECKIE,KG MOBILITY,1
MAZOWIECKIE,KIA,1186
MAZOWIECKIE,LAMBORGHINI,2
MAZOWIECKIE,LANCIA,17
MAZOWIECKIE,LAND ROVER,128
MAZOWIECKIE,LEXUS,676
MAZOWIECKIE,LINCOLN,3
MAZOWIECKIE,LYNK & CO,1
MAZOWIECKIE,MAN/V-VAN,2
MAZOWIECKIE,MASERATI,18
MAZOWIECKIE,MAZDA,299
MAZOWIECKIE,MERCEDES,1
MAZOWIECKIE,MERCEDES-AMG,4
MAZOWIECKIE,MERCEDES-BENZ,1203
MAZOWIECKIE,MERCURY,1
MAZOWIECKIE,MERCUS,1
MAZOWIECKIE,MG,232
MAZOWIECKIE,MG ROEWE,2
MAZOWIECKIE,MINI,144
MAZOWIECKIE,MITSUBISHI,128
MAZOWIECKIE,MNI,1
MAZOWIECKIE,MORGAN,1
MAZOWIECKIE,NISSAN,473
MAZOWIECKIE,OMODA,27
MAZOWIECKIE,OPEL,867
MAZOWIECKIE,OPEL/CARPOL,1
MAZOWIECKIE,PEUGEOT,644
MAZOWIECKIE,PEUGEOT/CARPOL,7
MAZOWIECKIE,POLESTAR,1
MAZOWIECKIE,PONTIAC,1
MAZOWIECKIE,PORSCHE,157
MAZOWIECKIE,RAM,7
MAZOWIECKIE,RENAULT,695
MAZOWIECKIE,RENAULT/CARPOL,45
MAZOWIECKIE,SAAB,13
MAZOWIECKIE,SANTANA,1
MAZOWIECKIE,SEAT,266
MAZOWIECKIE,SKODA,1571
MAZOWIECKIE,SMART,17
MAZOWIECKIE,SSANGYONG,65
MAZOWIECKIE,STUDEBAKER,1
MAZOWIECKIE,SUBARU,65
MAZOWIECKIE,SUZUKI,251
MAZOWIECKIE,TATRA,1
MAZOWIECKIE,TESLA,83
MAZOWIECKIE,TOYOTA,3424
MAZOWIECKIE,TOYOTA/CARPOL,2
MAZOWIECKIE,TOYOTA/STEELER,1
MAZOWIECKIE,TRUMPCHI,2
MAZOWIECKIE,VOLKSWAGEN,1536
MAZOWIECKIE,VOLVO,942
MAZOWIECKIE,VW WESTFALIA,1
MAZOWIECKIE,ZEEKR,2
OPOLSKIE,ALFA ROMEO,11
OPOLSKIE,ALPINA,1
OPOLSKIE,AUDI,186
OPOLSKIE,BAIC,10
OPOLSKIE,BMW,110
OPOLSKIE,BYD,1
OPOLSKIE,CADILLAC,1
OPOLSKIE,CHEVROLET,4
OPOLSKIE,CHRYSLER,10
OPOLSKIE,CITROEN,56
OPOLSKIE,CUPRA,25
OPOLSKIE,DACIA,25
OPOLSKIE,DAEWOO,1
OPOLSKIE,DAIHATSU,2
OPOLSKIE,DAIMLERCHRYSLER,5
OPOLSKIE,DODGE,15
OPOLSKIE,DS,4
OPOLSKIE,FIAT,53
OPOLSKIE,FORD,211
OPOLSKIE,FORTHING,6
OPOLSKIE,HONDA,7
OPOLSKIE,HYUNDAI,110
OPOLSKIE,INFINITI,1
OPOLSKIE,JAECOO,18
OPOLSKIE,JAGUAR,7
OPOLSKIE,JAGUAR LAND ROVER,1
OPOLSKIE,JEEP,20
OPOLSKIE,KIA,85
OPOLSKIE,LAMBORGHINI,1
OPOLSKIE,LAND ROVER,7
OPOLSKIE,LEXUS,33
OPOLSKIE,LINCOLN,1
OPOLSKIE,MAZDA,34
OPOLSKIE,MERCEDES,3
OPOLSKIE,MERCEDES-BENZ,116
OPOLSKIE,MG,9
OPOLSKIE,MINI,12
OPOLSKIE,MITSUBISHI,11
OPOLSKIE,NISSAN,59
OPOLSKIE,OMODA,11
OPOLSKIE,OPEL,171
OPOLSKIE,OPEL/CARPOL,1
OPOLSKIE,PEUGEOT,52
OPOLSKIE,PORSCHE,16
OPOLSKIE,RAM,2
OPOLSKIE,RENAULT,56
OPOLSKIE,RENAULT/CARPOL,5
OPOLSKIE,SEAT,78
OPOLSKIE,SKODA,182
OPOLSKIE,SMART,2
OPOLSKIE,SSANGYONG,4
OPOLSKIE,SUBARU,2
OPOLSKIE,SUZUKI,37
OPOLSKIE,TESLA,4
OPOLSKIE,TOYOTA,137
OPOLSKIE,TOYOTA/STEELER,1
OPOLSKIE,VAUXHALL,1
OPOLSKIE,VOLKSWAGEN,316
OPOLSKIE,VOLVO,27
PODKARPACKIE,ALFA ROMEO,26
PODKARPACKIE,ASTON MARTIN,4
PODKARPACKIE,AUDI,400
PODKARPACKIE,BAIC,10
PODKARPACKIE,BMW,236
PODKARPACKIE,BUICK,5
PODKARPACKIE,BYD,3
PODKARPACKIE,CHEVROLET,31
PODKARPACKIE,CHRYSLER,18
PODKARPACKIE,CITROEN,164
PODKARPACKIE,CUPRA,34
PODKARPACKIE,DACIA,82
PODKARPACKIE,DAEWOO,3
PODKARPACKIE,DAIHATSU,5
PODKARPACKIE,DAIMLERCHRYSLER,3
PODKARPACKIE,DODGE,27
PODKARPACKIE,DS,9
PODKARPACKIE,FIAT,151
PODKARPACKIE,FORD,395
PODKARPACKIE,FORD-CNG-TECHNIK,5
PODKARPACKIE,FORTHING,8
PODKARPACKIE,HONDA,115
PODKARPACKIE,HYUNDAI,335
PODKARPACKIE,INFINITI,1
PODKARPACKIE,JAECOO,5
PODKARPACKIE,JAGUAR,11
PODKARPACKIE,JEEP,82
PODKARPACKIE,KG MOBILITY,3
PODKARPACKIE,KIA,257
PODKARPACKIE,LAMBORGHINI,2
PODKARPACKIE,LANCIA,7
PODKARPACKIE,LAND ROVER,17
PODKARPACKIE,LEXUS,75
PODKARPACKIE,MASERATI,6
PODKARPACKIE,MAZDA,81
PODKARPACKIE,MCC,1
PODKARPACKIE,MERCEDES,1
PODKARPACKIE,MERCEDES-AMG,1
PODKARPACKIE,MERCEDES-BENZ,214
PODKARPACKIE,MG,33
PODKARPACKIE,MINI,19
PODKARPACKIE,MITSUBISHI,75
PODKARPACKIE,NISSAN,131
PODKARPACKIE,OMODA,7
PODKARPACKIE,OPEL,390
PODKARPACKIE,PEUGEOT,225
PODKARPACKIE,PEUGEOT/CARPOL,1
PODKARPACKIE,PONTIAC,1
PODKARPACKIE,PORSCHE,19
PODKARPACKIE,RAM,6
PODKARPACKIE,RENAULT,238
PODKARPACKIE,RENAULT/CARPOL,1
PODKARPACKIE,ROLLS-ROYCE,1
PODKARPACKIE,SEAT,113
PODKARPACKIE,SKODA,165
PODKARPACKIE,SMART,16
PODKARPACKIE,SOVAB,1
PODKARPACKIE,SSANGYONG,12
PODKARPACKIE,SUBARU,21
PODKARPACKIE,SUZUKI,121
PODKARPACKIE,TATA,1
PODKARPACKIE,TESLA,10
PODKARPACKIE,TOYOTA,440
PODKARPACKIE,VAUXHALL,2
PODKARPACKIE,VOLKSWAGEN,347
PODKARPACKIE,VOLVO,141
PODKARPACKIE,WARTBURG,1
PODKARPACKIE,WILLYS,1
PODLASKIE,ALFA ROMEO,7
PODLASKIE,AUDI,201
PODLASKIE,BAIC,8
PODLASKIE,BENTLEY,1
PODLASKIE,BMW,168
PODLASKIE,BUICK,6
PODLASKIE,BYD,3
PODLASKIE,CADILLAC,2
PODLASKIE,CHANGAN,1
PODLASKIE,CHEVROLET,16
PODLASKIE,CHRYSLER,43
PODLASKIE,CITROEN,49
PODLASKIE,CUPRA,16
PODLASKIE,DACIA,43
PODLASKIE,DAIHATSU,2
PODLASKIE,DAIMLERCHRYSLER,1
PODLASKIE,DODGE,46
PODLASKIE,FERRARI,1
PODLASKIE,FIAT,36
PODLASKIE,FORD,187
PODLASKIE,GAZ,1
PODLASKIE,GMC,1
PODLASKIE,HONDA,56
PODLASKIE,HYUNDAI,157
PODLASKIE,INFINITI,4
PODLASKIE,JAECOO,7
PODLASKIE,JAGUAR,8
PODLASKIE,JEEP,71
PODLASKIE,KG MOBILITY,2
PODLASKIE,KIA,179
